Price,adj_close,close,high,low,open,volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
timestamp,,,,,,
2025-09-10 00:00:00,110990.7421875,110990.7421875,111541.515625,110990.7421875,111539.0625,0
2025-09-10 01:00:00,111007.0625,111007.0625,111184.9375,110943.1328125,110992.9609375,0
2025-09-10 02:00:00,111392.8671875,111392.8671875,111535.8046875,111001.46875,111001.46875,56930304
2025-09-10 03:00:00,111502.8828125,111502.8828125,111535.3046875,111372.8203125,111390.4453125,1102069760
2025-09-10 04:00:00,111553.984375,111553.984375,111598.234375,111434.921875,111518.578125,0
2025-09-10 05:00:00,111554.6171875,111554.6171875,111665.0078125,111400.5859375,111530.640625,174059520
2025-09-10 06:00:00,111832.5234375,111832.5234375,111935.40625,111427.4921875,111565.0078125,0
2025-09-10 07:00:00,112519.7109375,112519.7109375,112523.78125,111800.625,111803.984375,2199670784
2025-09-10 08:00:00,112388.7421875,112388.7421875,112786.7265625,112371.2109375,112527.6015625,2778734592
2025-09-10 09:00:00,112275.1484375,112275.1484375,112392.1171875,112150.9296875,112373.2578125,0
2025-09-10 10:00:00,112289.03125,112289.03125,112402.6328125,112226.4921875,112270.421875,0
2025-09-10 11:00:00,112280.671875,112280.671875,112403.21875,112217.03125,112271.875,493449216
2025-09-10 12:00:00,113270.46875,113270.46875,113465.3671875,112297.1953125,112297.1953125,3406188544
2025-09-10 13:00:00,113965.6328125,113965.6328125,114273.765625,113353.78125,113353.78125,4645933056
2025-09-10 14:00:00,113865.6015625,113865.6015625,114272.484375,113845.796875,113978.34375,0
2025-09-10 15:00:00,113882.9921875,113882.9921875,114091.578125,113775.65625,113895.7421875,0
2025-09-10 16:00:00,113736.421875,113736.421875,113888.1640625,113597.4453125,113873.4296875,704032768
2025-09-10 17:00:00,113737.1953125,113737.1953125,114047.515625,113470.390625,113755.3203125,0
2025-09-10 18:00:00,113638.4765625,113638.4765625,113866.7890625,113388.03125,113737.9765625,1260883968
2025-09-10 19:00:00,113526.3203125,113526.3203125,113638.1328125,113182.9921875,113630.7890625,1463263232
2025-09-10 20:00:00,113643.0859375,113643.0859375,113847.921875,113597.1171875,113597.1171875,109436928
2025-09-10 21:00:00,113817.8515625,113817.8515625,113833.5703125,113631.1171875,113631.1171875,0
2025-09-10 22:00:00,113887.1328125,113887.1328125,113987.9921875,113782.7421875,113845.25,0
2025-09-10 23:00:00,113926.6875,113926.6875,114024.8828125,113808.953125,113885.984375,1182875648
2025-09-11 00:00:00,113905.65625,113905.65625,113986.796875,113723.5390625,113963.09375,0
2025-09-11 01:00:00,113942.5390625,113942.5390625,114085.4765625,113863.78125,113899.3359375,0
2025-09-11 02:00:00,113867.109375,113867.109375,113932.6796875,113745.4921875,113932.6796875,0
2025-09-11 03:00:00,114413.3515625,114413.3515625,114413.3515625,113848.5625,113848.5625,0
2025-09-11 04:00:00,114142.3984375,114142.3984375,114414.1328125,114118.7734375,114414.1328125,705150976
2025-09-11 05:00:00,114291.84375,114291.84375,114331.796875,113998.6640625,114150.4921875,99282944
2025-09-11 06:00:00,114405.6015625,114405.6015625,114456.7578125,114110.953125,114289.390625,0
